Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
TTN-USD,Titan Coin USD,0.000074,-0.000129,-63.67%,"66,975",2,2,2,910.82M
ZET-USD,Zetacoin USD,0.001116,-5e-06,-0.42%,"66,721",148,148,148,59.764M
DYT-USD,DoYourTip USD,0.045958,-0.000749,-1.60%,"66,661",0,0,0,1.45M
NSURE-USD,Nsure.Network USD,0.011693,0.0003,2.64%,"66,285",1.006M,1.006M,1.006M,5.669M
EBA-USD,Elpis Battle USD,0.002985,-1.6e-05,-0.53%,"66,195",2,2,2,22.173M
ADI-USD,Aditus USD,0.000279,-1e-06,-0.42%,"65,341","31,410","31,410","31,410",234.111M
MMO-USD,MMOCoin USD,0.00095,-0.000267,-21.96%,"65,120",764,764,764,68.532M
GUM-USD,Gourmet Galaxy USD,0.019579,-0.000665,-3.29%,"64,849","54,862","54,862","54,862",3.312M
EVIL-USD,Evil Coin USD,0.00307,-1.3e-05,-0.42%,"64,535",2,2,2,21.02M
SVX-USD,Savix USD,0.753409,0.0,0.00%,"64,222","5,246","5,246","5,246","85,242"
SKYRIM-USD,Skyrim Finance USD,0.003106,0.000147,4.98%,"63,054","19,027","19,027","19,027",20.3M
EXP-USD,Expanse USD,0.003349,-1.4e-05,-0.42%,"62,983",249,249,249,18.805M
FAM-USD,Famcentral USD,0.006136,0.000522,9.31%,"62,793",33,33,33,10.233M
FTXT-USD,FUTURAX USD,0.000018,0.0,-1.60%,"62,621",18,18,18,3.406B
YIELD-USD,Yield Protocol USD,0.001838,-1.6e-05,-0.86%,"62,499","21,335","21,335","21,335",34.01M
BUNI-USD,Bunicorn USD,0.002225,-2.6e-05,-1.15%,"62,418",67,67,67,28.049M
XBI-USD,Bitcoin Incognito USD,0.004749,-5e-05,-1.03%,"61,888",2,2,2,13.032M
SKIN-USD,SkinCoin USD,0.000699,0.000157,28.93%,"61,602","17,947","17,947","17,947",88.183M
CRACE-USD,Coinracer USD,0.000632,-7e-06,-1.14%,"61,565",0,0,0,97.348M
PINK-USD,Pink Panther USD,0.00014,-1e-06,-0.42%,"61,443",0,0,0,440.287M
BYN-USD,Beyondfi USD,0.006907,-0.000127,-1.80%,"61,214","203,529","203,529","203,529",8.863M
LYRA-USD,Scrypta USD,0.002428,7.4e-05,3.14%,"60,664",11,11,11,24.983M
FOC-USD,TheForce Trade USD,0.000748,0.0,-0.05%,"59,967",18,18,18,80.2M
MIB-USD,MIB Coin USD,0.0003,-5.7e-05,-15.97%,"59,813",172,172,172,199.277M
TCS-USD,Timechain Swap Token USD,0.016474,-0.00056,-3.29%,"59,546",12,12,12,3.615M
CTT-USD,Castweet USD,0.032913,-0.000118,-0.36%,"59,044",726,726,726,1.794M
MEL-USD,MELX USD,0.002847,8e-06,0.28%,"57,804",1.61M,1.61M,1.61M,20.3M
IXT-USD,IXT USD,0.001588,0.0,0.00%,"56,833",20,20,20,35.779M
SHDW-USD,Shadow Token USD,0.008094,-3.4e-05,-0.42%,"56,658",2,2,2,7M
SFUEL-USD,SparkPoint Fuel USD,0.001993,-9e-06,-0.47%,"56,554",24,24,24,28.374M
LUX-USD,LUXCoin USD,0.004187,-0.00282,-40.25%,"56,474",60,60,60,13.489M
2KEY-USD,2key.network USD,0.00072,0.0,-0.01%,"56,455",0,0,0,78.37M
AMM-USD,MicroMoney USD,0.003561,-0.00026,-6.81%,"56,176","95,938","95,938","95,938",15.777M
STEP-USD,Step Finance USD,0.013892,0.000859,6.59%,"55,566","137,785","137,785","137,785",4M
PLAT-USD,BitGuild PLAT USD,0.000928,-3.6e-05,-3.70%,"55,258","37,769","37,769","37,769",59.567M
DOKI-USD,Doki Doki Finance USD,1.104,0.0,0.00%,"55,202","49,962","49,962","49,962","49,999"
RBT-USD,Rimbit USD,0.000279,-1e-06,-0.42%,"55,145",2,2,2,197.581M
INFI-USD,Insured Finance USD,0.001941,0.0,0.00%,"54,998",2,2,2,28.338M
CHAT-USD,ChatCoin USD,0.000079,-6e-06,-6.62%,"54,797",2,2,2,690.001M
NTRN-USD,Neutron USD,0.001396,-6e-06,-0.42%,"54,595",173,173,173,39.122M
BTA-USD,Bata USD,0.010773,-0.119697,-91.74%,"54,434",0,0,0,5.053M
1MIL-USD,1MillionNFTs USD,0.444688,0.041665,10.34%,"53,362","61,642","61,642","61,642","120,000"
PRARE-USD,POLKARARE USD,0.00461,-0.000104,-2.21%,"52,477","57,746","57,746","57,746",11.383M
RGP-USD,Rigel Protocol USD,0.029189,0.002774,10.50%,"52,394",25,25,25,1.795M
BOLI-USD,Bolivarcoin USD,0.002819,-1.2e-05,-0.42%,"52,373",10,10,10,18.579M
LIT-USD,Lition USD,0.001471,-2.4e-05,-1.60%,"52,270",18,18,18,35.542M
1UP-USD,Uptrennd USD,0.00013,-1e-06,-0.42%,"52,215",0,0,0,401.46M
ERO-USD,Eroscoin USD,0.000279,-1e-06,-0.42%,"52,121","3,845","3,845","3,845",186.744M
CTL-USD,Citadel USD,0.004745,0.00026,5.80%,"52,046",788,788,788,10.969M
KWT-USD,Kawaii Islands USD,0.001734,-4.5e-05,-2.54%,"52,028","1,440","1,440","1,440",30M
PRIX-USD,Privatix USD,0.046052,0.000367,0.80%,"51,829","19,027","19,027","19,027",1.125M
VIVID-USD,Vivid Coin USD,0.006726,-2.8e-05,-0.42%,"51,777",0,0,0,7.698M
NFXC-USD,NFX Coin USD,0.000558,-2e-06,-0.42%,"51,358",1,1,1,92.006M
TAP-USD,Tapx USD,0.001989,0.0,0.01%,"51,152",7,7,7,25.712M
BLTG-USD,Block-Logic USD,0.002233,-9e-06,-0.42%,"51,130",0,0,0,22.899M
2LC-USD,2local USD,0.00000388,-4e-08,-0.99%,"50,658",223,223,223,13.051B
STEEP-USD,SteepCoin USD,0.000279,-1e-06,-0.42%,"50,659",2,2,2,181.505M
BTZC-USD,BeatzCoin USD,0.00002,0.0,-0.42%,"50,184",7,7,7,2.569B
ZUM4826-USD,ZUM TOKEN USD,0.00000195,-5e-08,-2.44%,"49,955",27,27,27,25.614B
XDOGE14840-USD,ClassicDoge USD,0.00000327,-1e-07,-2.87%,"49,580",508,508,508,15.171B
SPD2828-USD,SPINDLE USD,0.000012,0.0,-0.46%,"49,306",360,360,360,4.051B
ELY-USD,Elysian USD,0.000501,-4e-06,-0.73%,"49,063",3,3,3,97.966M
ARGO-USD,ArGo USD,0.005487,0.0,0.00%,"48,813",0,0,0,8.896M
MCC-USD,MultiCoinCasino USD,0.010065,-1e-06,-0.01%,"48,391",504,504,504,4.808M
TZC-USD,TrezarCoin USD,0.000167,-1e-06,-0.42%,"48,319",7,7,7,288.537M
KNIGHT-USD,Forest Knight USD,0.008847,-3e-05,-0.33%,"48,173","99,300","99,300","99,300",5.445M
AZUKI-USD,Azuki USD,0.004233,-0.000113,-2.61%,"47,765",7,7,7,11.285M
TNS-USD,Transcodium USD,0.000552,0.000272,96.91%,"47,362",458,458,458,85.843M
CHART-USD,ChartEx USD,0.002362,-0.00011,-4.45%,"47,243","1,039","1,039","1,039",20M
YOU-USD,YOU COIN USD,0.000085,0.0,0.00%,"47,182","32,733","32,733","32,733",556.12M
DOM-USD,Ancient Kingdom USD,0.000037,0.0,0.66%,"47,149",72,72,72,1.262B
PEOS-USD,pEOS USD,0.000057,0.0,0.00%,"47,084",21,21,21,828.354M
RBLX-USD,Rublix USD,0.002267,-1.1e-05,-0.46%,"47,033",97,97,97,20.746M
SHAKE-USD,Spaceswap SHAKE USD,61.81,-0.76,-1.21%,"46,916","5,958","5,958","5,958",759
ATB-USD,ATBCoin USD,0.001117,-5e-06,-0.41%,"46,936",1,1,1,42.038M
YTN-USD,YENTEN USD,0.001116,-5e-06,-0.42%,"46,836",8,8,8,41.952M
LUN-USD,Lunyr USD,0.020375,-8.6e-05,-0.42%,"46,818",5,5,5,2.298M
NTR-USD,Nether NFT USD,0.021776,-0.000225,-1.02%,"46,595",0,0,0,2.14M
OPAL-USD,Opal USD,0.00307,-1.3e-05,-0.42%,"46,532",12,12,12,15.156M
RBIES-USD,Rubies USD,0.004466,-1.9e-05,-0.42%,"46,511",2,2,2,10.415M
MAS-USD,MidasProtocol USD,0.000237,0.0,0.00%,"46,340","24,922","24,922","24,922",195.541M
BREW-USD,CafeSwap Token USD,0.002069,-0.002934,-58.64%,"45,968",10,10,10,22.218M
CUR-USD,Curio USD,0.023365,-0.000381,-1.60%,"45,937",0,0,0,1.966M
COVA-USD,COVA USD,0.000019,1e-06,8.02%,"46,344",101,101,101,2.496B
BEET-USD,Beetlecoin USD,0.000158,-1e-06,-0.56%,"45,797",2,2,2,289.976M
CHEESE-USD,Cheesecoin USD,0.000112,0.0,-0.42%,"45,647",3,3,3,408.87M
SNN-USD,SeChain USD,0.00000265,2.51e-06,#ERROR!,"45,163",0,0,0,17.034B
RNT-USD,OneRoot Network USD,0.000147,-7e-06,-4.55%,"41,780","19,715","19,715","19,715",284.074M
DONU-USD,Donu USD,0.008652,-3.6e-05,-0.42%,"43,874",3,3,3,5.071M
FDZ-USD,Friendz USD,0.000085,1.5e-05,20.77%,"43,830",0,0,0,516.152M
GSAIL-USD,SolanaSail Governance Token USD,0.011806,-1e-06,-0.01%,"43,682",0,0,0,3.7M
PHT5214-USD,Phoneum USD,0.000014,0.0,-0.01%,"43,533",211,211,211,3.064B
WARP-USD,Warp Finance USD,9.3048,-0.3072,-3.20%,"43,490","1,211","1,211","1,211","4,674"
HTD-USD,HeroesTD USD,0.00092,-1.3e-05,-1.43%,"43,161",129,129,129,46.903M
EKT-USD,EDUCare USD,0.000059,2e-06,3.15%,"43,084","4,412","4,412","4,412",724.298M
PHX11727-USD,Phoenix Token USD,0.001291,2e-05,1.57%,"42,539","14,747","14,747","14,747",32.96M
EGG8449-USD,Goose Finance USD,0.024026,-0.00103,-4.11%,"42,169","20,371","20,371","20,371",1.755M
LITHO-USD,Lithosphere USD,0.000675,0.000197,41.17%,"42,043","530,681","530,681","530,681",62.317M
SCONEX-USD,Sportcash One USD,0.003303,-4e-06,-0.11%,"41,963",384,384,384,12.707M
DOGES-USD,Dogeswap USD,2.0925,-0.0085,-0.41%,"41,849",711,711,711,"20,000"
WCC-USD,WinCash USD,0.027855,-0.000117,-0.42%,"41,776",2,2,2,1.5M
XCT-USD,Citadel.one USD,0.004573,-3.4e-05,-0.73%,"41,145","67,482","67,482","67,482",8.996M
UFARM-USD,UniFarm USD,0.001069,-0.000294,-21.55%,"41,028","43,413","43,413","43,413",38.376M
FLOT-USD,Fire Lotto USD,0.001488,-1.6e-05,-1.05%,"40,899",11,11,11,27.482M
SMTY-USD,Smoothy USD,0.00803,6.1e-05,0.77%,"40,872","153,975","153,975","153,975",5.09M
BTW-USD,BitWhite USD,0.001119,-5.8e-05,-4.94%,"40,644","82,993","82,993","82,993",36.325M
GBX-USD,GoByte USD,0.004187,-1.8e-05,-0.42%,"40,085",36,36,36,9.575M
BERN-USD,BERNcash USD,0.000558,-2e-06,-0.42%,"39,763",1,1,1,71.234M
KFX-USD,KnoxFS USD,0.058584,-0.000247,-0.42%,"39,303",0,0,0,"670,896"
GB-USD,GoldBlocks USD,0.002512,-1.1e-05,-0.42%,"39,095",2,2,2,15.564M
ROAD9145-USD,Yellow Road USD,0.012689,-2.2e-05,-0.17%,"38,493",1,1,1,3.034M
OMC-USD,omchain USD,0.0002,0.0,0.00%,"38,097","109,614","109,614","109,614",190.399M
UNIFY-USD,Unify USD,0.002093,-9e-06,-0.42%,"38,066",2,2,2,18.185M
STAR-USD,Starbase USD,0.000199,0.0,-0.01%,"37,331","872,432","872,432","872,432",187.5M
MARTK-USD,Martkist USD,0.002177,-9e-06,-0.42%,"36,905","3,611","3,611","3,611",16.952M
XPA-USD,XPA USD,0.000643,-1e-05,-1.60%,"36,789",10,10,10,57.178M
ARAW-USD,ARAW USD,0.000018,0.0,-1.60%,"36,648",1,1,1,1.994B
BURN-USD,Blockburn USD,0.000018,0.0,-1.60%,"36,357",23,23,23,1.978B
PVT-USD,Pivot Token USD,0.00000707,8.4e-07,13.54%,"36,293","7,689","7,689","7,689",5.135B
GCN-USD,GCN Coin USD,0.00000021,4e-08,23.39%,"36,202",1,1,1,172.077B
JET-USD,Jetcoin USD,0.002791,-0.000572,-17.02%,"35,636","43,640","43,640","43,640",12.768M
AFEN-USD,AFEN Blockchain Network USD,0.000239,-5e-06,-2.12%,"35,149",221,221,221,146.865M
VIDZ-USD,PureVidz USD,0.000279,-1e-06,-0.42%,"34,966",20,20,20,125.28M
NOR-USD,Noir USD,0.001675,-7e-06,-0.42%,"34,766",0,0,0,20.761M
GFX-USD,GamyFi Platform USD,0.041942,-0.001083,-2.52%,"34,601",283,283,283,"825,000"
XRA-USD,Ratecoin USD,0.000279,-1e-06,-0.42%,"34,176",24,24,24,122.449M
WSPP13119-USD,Wolf Safe Poor People (Polygon) USD,0.000011,-2e-06,-14.70%,"34,100","40,627","40,627","40,627",3.162B
CSPN-USD,Crypto Sports Network USD,0.012406,-1e-06,-0.01%,"33,962",23,23,23,2.738M
ASW-USD,AdaSwap USD,0.000047,-2e-06,-3.65%,"33,891","28,614","28,614","28,614",720.17M
DGC-USD,Digitalcoin USD,0.000821,-4.3e-05,-5.03%,"33,312","11,605","11,605","11,605",40.596M
GRIMM-USD,Grimm USD,0.000558,-2e-06,-0.42%,"33,772",6,6,6,60.501M
XPY-USD,PayCoin USD,0.002791,-1.2e-05,-0.42%,"33,479",0,0,0,11.995M
NIFT-USD,Niftify USD,0.002881,-0.00022,-7.10%,"33,139","7,444","7,444","7,444",11.501M
SPK-USD,SparksPay USD,0.002624,-1.1e-05,-0.42%,"32,582",0,0,0,12.419M
KFT-USD,Knit Finance USD,0.006635,0.001123,20.38%,"32,511","16,788","16,788","16,788",4.9M
KOI-USD,Koi Network USD,0.0018,-2.2e-05,-1.21%,"32,398","575,659","575,659","575,659",18M
GSR-USD,GeyserCoin USD,0.0187,-7.9e-05,-0.42%,"32,042",10,10,10,1.714M
AIX-USD,Aigang USD,0.001086,-2.2e-05,-2.03%,"31,801","1,178","1,178","1,178",29.275M
ORMEUS-USD,Ormeus Coin USD,0.000881,-1.9e-05,-2.06%,"31,632",1,1,1,35.905M
ALP-USD,CoinAlpha USD,0.000226,2e-06,1.02%,"31,517",6,6,6,139.436M
DOE-USD,Dogs Of Elon USD,0.000162,-5e-06,-2.92%,"31,178","1,160","1,160","1,160",192.112M
UNIT-USD,Universal Currency USD,0.001954,-8e-06,-0.42%,"31,160",4,4,4,15.949M
NEVA-USD,NevaCoin USD,0.005722,-2.4e-05,-0.42%,"31,077",2,2,2,5.432M
POST-USD,PostCoin USD,0.001954,-8e-06,-0.42%,"31,002",2,2,2,15.868M
SPD-USD,Stipend USD,0.002344,-1e-05,-0.42%,"30,925",10,10,10,13.191M
IPL-USD,VouchForMe USD,0.000126,-1.6e-05,-11.23%,"30,863",0,0,0,245.661M
ORS-USD,ORS Group USD,0.000102,0.0,0.00%,"30,737","153,216","153,216","153,216",300M
ARO-USD,Arionum USD,0.000192,0.000174,928.73%,"30,642",24,24,24,159.429M
UPX-USD,uPlexa USD,0.000012,0.0,-1.02%,"30,609",9,9,9,2.629B
EVC-USD,EventChain USD,0.000974,0.000283,40.95%,"30,447","6,262","6,262","6,262",31.25M
AMA-USD,AMATEN USD,0.004002,0.0,-0.01%,"30,300",1,1,1,7.571M
ONX-USD,ownix USD,0.000279,-1e-06,-0.42%,"29,884",2,2,2,107.073M
GCR-USD,Global Currency Reserve USD,0.000279,-1e-06,-0.42%,"29,871",2,2,2,107.024M
CCN-USD,CustomContractNetwork USD,0.000018,0.0,-1.60%,"29,796",5,5,5,1.621B
ELTCOIN-USD,ELTCOIN USD,0.000331,-2.4e-05,-6.78%,"29,781","9,893","9,893","9,893",90M
WFX-USD,Webflix Token USD,0.00000205,0.0,-0.01%,"29,677",0,0,0,14.469B
NSD-USD,Nasdacoin USD,0.001011,-0.000166,-14.10%,"29,592","5,164","5,164","5,164",29.268M
EGEM-USD,EtherGem USD,0.001508,-7.5e-05,-4.75%,"29,384",670,670,670,19.483M
GCC-USD,GuccioneCoin USD,0.001396,-6e-06,-0.42%,"28,309",3,3,3,20.286M
MAY-USD,Theresa May Coin USD,0.000279,-1e-06,-0.42%,"27,915",11,11,11,100.018M
CBM-USD,CryptoBonusMiles USD,0.00000558,-2e-08,-0.42%,"27,905",8,8,8,4.999B
ADZ-USD,Adzcoin USD,0.000558,-2e-06,-0.42%,"27,814",3,3,3,49.827M
MONK-USD,MONK USD,0.002079,3.8e-05,1.89%,"26,953",496,496,496,12.964M
BITC-USD,BitCash USD,0.001189,0.000406,51.92%,"26,397",194,194,194,22.198M
BECN-USD,Beacon USD,0.014513,-0.000333,-2.24%,"25,841",256,256,256,1.781M
VEKTOR-USD,VEKTOR USD,0.00000006,0.0,-4.66%,"25,393",93,93,93,391.306B
KUV-USD,Kuverit USD,0.00000938,0.0,-0.01%,"24,910",4,4,4,2.654B
TBX-USD,Tokenbox USD,0.002205,-1e-05,-0.46%,"24,769",14,14,14,11.235M
SAMU-USD,Samusky USD,0.000045,0.0,-0.02%,"24,656",1,1,1,547.842M
TWIN-USD,Twinci USD,0.122294,0.02992,32.39%,"24,458","32,236","32,236","32,236","200,000"
DDL-USD,DeFi Degen Land USD,0.00000016,0.0,-0.57%,"24,428",33,33,33,150B
RHT-USD,Reward Hunters Token USD,0.00003,0.0,0.00%,"24,328",145,145,145,800M
SNY-USD,Synthetify USD,0.004252,-7.7e-05,-1.77%,"23,917","19,262","19,262","19,262",5.625M
ETHPLO-USD,ETHplode USD,0.000529,-4e-06,-0.67%,"23,709",18,18,18,44.823M
DGTX-USD,Digitex USD,0.000025,-2e-06,-6.06%,"23,630","101,380","101,380","101,380",931.036M
KOMBAT-USD,Crypto Kombat USD,2.3369,-0.1697,-6.77%,"23,619",92,92,92,"10,107"
CORX-USD,CorionX USD,0.000179,-2e-06,-1.23%,"23,297",365,365,365,129.91M
RUNE9905-USD,Rune USD,1.7045,0.0293,1.75%,"23,040",465,465,465,"13,516"
VAULT-USD,VAULT USD,0.033772,-0.000142,-0.42%,"22,897",2,2,2,"678,009"
ZCR-USD,ZCore USD,0.001793,-4.1e-05,-2.22%,"22,422",925,925,925,12.506M
ISA-USD,Islander USD,0.000041,-2e-06,-4.84%,"22,413",585,585,585,545.754M
NDX-USD,Indexed Finance USD,0.026056,-0.000121,-0.46%,"22,272",214,214,214,"854,801"
ECO-USD,Ormeus Ecosystem USD,0.00000984,1.9e-07,1.93%,"21,936",8,8,8,2.23B
C2-USD,Coin2.1 USD,0.000279,-1e-06,-0.42%,"21,838",4,4,4,78.246M
GXT7310-USD,Gem Exchange and Trading USD,0.000261,5e-06,2.02%,"21,787","1,206","1,206","1,206",83.529M
CNT-USD,Centurion USD,0.000279,-1e-06,-0.42%,"21,676",76,76,76,77.664M
PEX-USD,PearDAO USD,0.008652,0.001365,18.73%,"21,226",15,15,15,2.453M
EKO-USD,EchoLink USD,0.000042,-1e-06,-1.60%,"21,140",62,62,62,500M
SHMN-USD,StrongHands Masternode USD,0.004466,0.002784,165.55%,"20,625",7,7,7,4.619M
KNT-USD,Knekted USD,0.000037,-1e-06,-1.60%,"20,190",16,16,16,549.16M
LMT-USD,Lympo Market Token USD,0.000655,0.0,0.00%,"20,090",18,18,18,30.678M
EXE-USD,8X8 PROTOCOL USD,0.000063,0.0,-0.01%,"19,540",11,11,11,310M
TDP-USD,TrueDeck USD,0.000625,0.000121,23.91%,"19,199","11,469","11,469","11,469",30.718M
RVT-USD,Rivetz USD,0.000716,-3e-06,-0.46%,"18,786",0,0,0,26.244M
XDNA7262-USD,extraDNA USD,0.000016,0.0,-0.01%,"18,692",2,2,2,1.19B
CCO-USD,Ccore USD,0.010993,6.4e-05,0.58%,"18,688",89,89,89,1.7M
ESCE-USD,Escroco Emerald USD,0.000018,0.0,-1.60%,"18,383",4,4,4,1B
DCTO-USD,Decentralized Crypto Token USD,0.000018,0.0,-1.60%,"18,255",0,0,0,993.067M
HEROEGG-USD,HeroFi USD,0.000212,0.0,0.00%,"18,256",2,2,2,86.226M
FRST-USD,FirstCoin USD,0.000582,-6e-06,-1.03%,"18,177",3,3,3,31.208M
GOSS-USD,Gossip Coin USD,0.000558,-2e-06,-0.42%,"18,130",25,25,25,32.479M
HYC-USD,HYCON USD,0.00000671,0.0,0.00%,"17,969","26,615","26,615","26,615",2.677B
ASAFE-USD,AllSafe USD,0.001954,-0.000289,-12.87%,"17,867",8,8,8,9.145M
AXE-USD,Axe USD,0.003349,-0.000294,-8.08%,"17,620",8,8,8,5.261M
MST-USD,MustangCoin USD,0.027911,0.00745,36.41%,"17,593",15,15,15,"630,343"
IC-USD,Ignition USD,0.011192,-4.7e-05,-0.42%,"17,450",0,0,0,1.559M
AREPA-USD,Arepacoin USD,0.001013,1.8e-05,1.79%,"17,402",0,0,0,17.187M
BTAD-USD,Bitcoin Adult USD,0.000335,-1e-06,-0.42%,"17,276",0,0,0,51.582M
ALPHR-USD,Alphr finance USD,0.009989,2.3e-05,0.23%,"17,271","14,561","14,561","14,561",1.729M
YEE-USD,YEE USD,0.000012,-4e-06,-24.93%,"15,981","14,604","14,604","14,604",1.365B
RENA-USD,Warena USD,0.002466,3.9e-05,1.59%,"16,921","24,768","24,768","24,768",6.862M
TAJ-USD,TajCoin USD,0.000558,-2e-06,-0.42%,"16,721",2,2,2,29.956M
ANC-USD,Anoncoin USD,0.007815,-3.3e-05,-0.42%,"16,492",74,74,74,2.11M
AKA-USD,Akroma USD,0.000837,-4e-06,-0.42%,"16,057",5,5,5,19.177M
DRM-USD,Dreamcoin USD,0.005861,0.000536,10.06%,"15,971",8,8,8,2.725M
MORE-USD,More Coin USD,0.007815,-0.000593,-7.06%,"15,629","1,043","1,043","1,043",2M
BSD-USD,BitSend USD,0.000474,2.6e-05,5.80%,"15,380",0,0,0,32.415M
BOUTS-USD,BoutsPro USD,0.000198,-1e-06,-0.66%,"15,174",0,0,0,76.615M
EVN-USD,EvenCoin USD,0.000478,-8e-06,-1.60%,"14,935","105,506","105,506","105,506",31.248M
GLT-USD,GlobalToken USD,0.000112,0.0,-0.42%,"14,822",1,1,1,132.764M
FGC-USD,FantasyGold USD,0.000106,-3e-06,-2.97%,"14,812",145,145,145,139.66M
PGN-USD,Pigeoncoin USD,0.00000192,2e-08,1.31%,"14,393",2,2,2,7.514B
NASH-USD,NeoWorld Cash USD,0.0000006,1e-07,19.99%,"14,233",0,0,0,23.71B
BSC-USD,BowsCoin USD,0.002512,-0.000291,-10.38%,"13,941",3,3,3,5.55M
ELET-USD,Elementeum USD,0.002663,-1.2e-05,-0.46%,"13,911",51,51,51,5.223M
BELA-USD,Bela USD,0.000279,-1e-06,-0.42%,"13,874",264,264,264,49.712M
EUC-USD,Eurocoin USD,0.001116,-5e-06,-0.42%,"13,862",2,2,2,12.417M
HB-USD,HeartBout USD,0.000259,-3e-06,-0.97%,"13,857",0,0,0,53.495M
XCO-USD,X-Coin USD,0.001116,-5e-06,-0.42%,"13,826",2,2,2,12.385M
FUZZ-USD,FuzzBalls USD,0.002791,-1.2e-05,-0.42%,"13,480",19,19,19,4.83M
PRVC-USD,PrivaCoin USD,0.00105,1e-06,0.08%,"13,465","8,210","8,210","8,210",12.83M
MOWA-USD,Moniwar USD,0.00123,-5e-06,-0.37%,"13,296",46,46,46,10.811M
ZUKI-USD,Zuki Moba USD,0.000358,2e-06,0.44%,"13,170",66,66,66,36.819M
OPTIMUSAI-USD,Optimus AI USD,0.000138,-4e-06,-2.97%,"13,154","150,716","150,716","150,716",95.035M
KWS-USD,Knight War - The Holy Trio USD,0.000417,-6e-06,-1.53%,"13,133","12,466","12,466","12,466",31.485M
ABX-USD,Arbidex USD,0.000548,-3e-06,-0.46%,"12,921",882,882,882,23.561M
START-USD,Startcoin USD,0.000279,-1e-06,-0.42%,"12,582",2,2,2,45.08M
UNI-USD,UNICORN Token USD,0.000117,0.0,-0.42%,"12,532",11,11,11,106.913M
NAVY-USD,BoatPilot Token USD,0.000167,-1e-06,-0.62%,"12,344",0,0,0,73.863M
RUP-USD,Rupee USD,0.000279,-1e-06,-0.42%,"12,324",2,2,2,44.157M
HERB-USD,Herbalist Token USD,0.00000129,-2e-08,-1.60%,"12,224",5,5,5,9.5B
PNX-USD,Phantomx USD,0.000251,-1e-06,-0.42%,"12,181",0,0,0,48.496M
CIV-USD,Civitas USD,0.001396,-6e-06,-0.42%,"12,162",3,3,3,8.715M
BLOC-USD,BLOC.MONEY USD,0.000558,-2e-06,-0.42%,"12,118",3,3,3,21.709M
ARB-USD,ARbit USD,0.001116,-5e-06,-0.42%,"12,090",2,2,2,10.83M
INNBC-USD,Innovative Bioresearch Coin USD,0.00000001,0.0,-3.61%,"11,861",5,5,5,1.23T
HERO11067-USD,Step Hero USD,0.000894,-1e-06,-0.12%,"11,584","43,072","43,072","43,072",12.951M
ALLBI-USD,ALL BEST ICO USD,0.000024,2e-06,9.13%,"11,555",168,168,168,479.147M
EDRC-USD,EDRCoin USD,0.003907,-1.6e-05,-0.42%,"11,453",6,6,6,2.931M
QUAN-USD,Quantis Network USD,0.000279,-1e-06,-0.42%,"11,102",8,8,8,39.779M
STAC-USD,StarterCoin USD,0.000032,0.0,-0.46%,"11,089",36,36,36,342.007M
DTC-USD,Datacoin USD,0.000279,-1e-06,-0.42%,"11,084",0,0,0,39.713M
SINS-USD,SafeInsure USD,0.000447,-2e-06,-0.42%,"10,845",26,26,26,24.287M
IBTC-USD,iBTC USD,0.000213,-2e-06,-0.83%,"10,653",41,41,41,49.994M
PKB-USD,ParkByte USD,0.002233,-9e-06,-0.42%,"10,637",2,2,2,4.764M
XBTC21-USD,Bitcoin 21 USD,0.013397,0.001906,16.58%,"10,625",4,4,4,"793,107"
AIM-USD,ModiHost USD,0.008373,-3.5e-05,-0.42%,"10,438",1,1,1,1.247M
ACA13626-USD,ACA Token USD,0.000214,-4e-06,-1.99%,"10,365",25,25,25,48.39M
CF-USD,Californium USD,0.004187,-1.8e-05,-0.42%,"10,244",9,9,9,2.447M
DLC-USD,Dollarcoin USD,0.001116,-5e-06,-0.42%,"10,166",2,2,2,9.107M
RASKO-USD,rASKO USD,0.000158,-1e-06,-0.54%,"10,130",13,13,13,64M
KALA-USD,Kalata USD,0.00028,-2.3e-05,-7.67%,"9,815",452,452,452,35M
IMG-USD,ImageCoin USD,0.000719,0.0,-0.01%,"9,788",0,0,0,13.607M
APC-USD,Alpha Coin USD,0.000279,-1e-06,-0.42%,"9,768",63,63,63,35M
TCH-USD,Thore Cash USD,0.000176,-1e-06,-0.67%,"9,707",791,791,791,55.056M
LUS-USD,Luna Rush USD,0.002128,-5e-05,-2.31%,"9,682","16,797","16,797","16,797",4.55M
SACT-USD,srnArt Gallery USD,0.001858,-1.5e-05,-0.79%,"9,292",1,1,1,5M
SCRIV-USD,SCRIV NETWORK USD,0.000363,-2e-06,-0.42%,"8,978",5,5,5,24.744M
XUEZ-USD,Xuez USD,0.001954,-8e-06,-0.42%,"8,852","30,857","30,857","30,857",4.531M
GAJ-USD,Gaj Finance USD,0.004556,-2.3e-05,-0.49%,"8,845",3,3,3,1.941M
OGO-USD,Origo USD,0.00002,0.0,-0.01%,"8,814",3,3,3,440.517M
FLL-USD,Feellike USD,0.004903,0.0,-0.01%,"8,753",0,0,0,1.785M
LTCR-USD,Litecred USD,0.000279,-1e-06,-0.42%,"8,436",108,108,108,30.228M
MEDIC-USD,MedicCoin USD,0.000028,0.0,-0.42%,"8,327",0,0,0,298.349M
XAP-USD,Apollon USD,0.000056,0.0,-0.42%,"8,294",4,4,4,148.585M
